company,ticker,metro,state,serving_utility,ba,zone,source_type,source_url,note,lat,lon,utility_parent,utility_ticker
Riot Platforms,RIOT,Corsicana,TX,Oncor Electric Delivery,ERCO,,company_disclosure,https://www.riotplatforms.com/locations/corsicana/,Navarro County. Same demand-response caveat as Rockdale.,,,Sempra (80.25% of Oncor),SRE
Cipher Digital (Cipher Mining),CIFR,Wink (Winkler County),TX,,ERCO,,press,https://www.datacenterdynamics.com/en/news/cipher-mining-to-develop-300mw-cryptomining-data-center-site-in-west-texas/,"'Black Pearl'. Winkler County is the Permian Basin, the same footprint our detector ranks 2nd (ERCO/FWES, +116% overnight demand growth). Bitcoin is being wound down to redirect power to AI tenants: the load stays, the purpose changes.  UNRESOLVED: The ERCOT interconnection is documented; the TDU serving the site is not named in any source I could find. Recorded blank rather than guessed between Oncor and TNMP.",,,,
TeraWulf,WULF,Barker (Lake Mariner),NY,NYSEG and New York Power Authority,NYIS,,company_disclosure,https://www.terawulf.com/our-sites,"Built on the retired 700 MW Somerset coal plant site. NYISO Zone A is Niagara hydro-heavy, so this is a converted miner on unusually clean supply - the opposite of the West Texas story and worth showing next to it.",,,Avangrid/Iberdrola (NYSEG); NYPA is New York State-owned,
Applied Digital,APLD,Ellendale,ND,,MISO,,press,https://www.datacenterdynamics.com/en/news/applied-digital-signs-250mw-agreement-with-coreweave-for-capacity-at-ellendale-campus-north-dakota/,"'Polaris Forge 1', 400 MW when complete. North Dakota is split between MISO and SWPP, so the state does not settle this; the MISO attribution is the operator's own.  UNRESOLVED: Dickey County's serving utility is not named in any source I could find. Not guessed.",,,,
CoreWeave,CRWV,Ellendale (leased from Applied Digital),ND,,MISO,,company_disclosure,https://ir.applieddigital.com/news-events/press-releases/detail/123/applied-digital-announces-250mw-ai-data-center-lease-with,"CoreWeave leases the full 400 MW campus under a ~15-year agreement. It owns no grid connection here: the load appears as Applied Digital's. A company-level view would miss this entirely, which is the argument for mapping sites rather than companies.  UNRESOLVED: Serving utility unresolved for the same reason as the Applied Digital row: it is the same site.",,,,
xAI,,Memphis (Boxtown),TN,"Memphis Light, Gas and Water (power from TVA)",TVA,,press,https://www.datacenterdynamics.com/en/news/xai-colossus-memphis-power-tva/,"Colossus. MLGW is a municipal utility buying from TVA, so the grid footprint is TVA. MATERIAL CAVEAT: xAI also runs dozens of mobile gas turbines on site, reported around 495 MW. On-site generation does not appear in EIA-930 at all, so our grid figure describes only the portion drawn from TVA and understates this site's fossil use.",35.0654,-90.0968,TVA (federal),
"Crusoe / Stargate (Oracle, OpenAI)",ORCL,Abilene,TX,Oncor Electric Delivery,ERCO,,press,https://www.datacenterdynamics.com/en/news/xai-colossus-memphis-power-tva/,"Hybrid: on-site gas plus the Oncor grid plus local wind. Same caveat as Memphis -- the on-site plant is outside EIA-930, so our ERCOT figure covers only the grid-drawn share. Abilene sits in the ERCOT West/North area; zone left blank rather than inferred.",32.4487,-99.7331,Sempra (80.25% of Oncor),SRE
Digital Realty,DLR,Ashburn,VA,Dominion Energy Virginia,PJM,PJM/DOM,inferred,https://dcmap.us/markets/northern-virginia/,"Colocation, not an operator: DLR leases space and power to tenants, so the load is its customers'. Included because the REITs are where a large share of this buildout is housed. Serving utility inferred from the Loudoun footprint, not confirmed from a tariff.",39.0438,-77.4874,Dominion Energy,D
Equinix,EQIX,Ashburn,VA,Dominion Energy Virginia,PJM,PJM/DOM,inferred,https://dcmap.us/markets/northern-virginia/,"Colocation. Same caveat as DLR: the load belongs to tenants, and the utility is inferred from the footprint.",39.0180,-77.4390,Dominion Energy,D
Vantage Data Centers,,Quincy,WA,Grant County PUD,GCPD,,press,https://vantage-dc.com/data-center-locations/north-america/quincy-washington/,"Same Columbia River hydro as Microsoft's Quincy campus, which reads 100% carbon-free. Privately held (DigitalBridge), so no listed equity.",47.2343,-119.8523,DigitalBridge (private),
Google,GOOGL,Council Bluffs,IA,MidAmerican Energy,MISO,,press,https://www.utilitydive.com/news/google-makes-biggest-renewables-buy-yet/255052/,confidence=high. Google lists Council Bluffs on its own locations page and MidAmerican Energy is the contracted retail supplier (407 MW wind deal). Iowa has no clean EIA MISO sub-zone mapping so this is held at BA level.,,,Berkshire Hathaway Energy,
Google,GOOGL,The Dalles,OR,Northern Wasco County PUD,BPAT,,press,https://www.publicpower.org/periodical/article/northern-wasco-pud-supply-power-google-data-centers,confidence=high. APPA states Northern Wasco County PUD delivers power to Google's data centers in The Dalles; the PUD sits inside BPA's balancing authority.,,,public power,
Google,GOOGL,Pryor (Mayes County),OK,Grand River Dam Authority,SWPP,SWPP/GRDA,press,https://www.publicpower.org/periodical/article/grand-river-dam-authority-partners-with-google-solar-projects,confidence=high. APPA states GRDA supplies Google's Mayes County data center; GRDA is its own SPP sub-region.,,,public power,
Google,GOOGL,Lenoir,NC,Duke Energy Carolinas,DUK,,company_disclosure,https://news.duke-energy.com/releases/duke-energy-google-team-up-on-solar-power-project-in-n-c,confidence=high. Duke Energy's own release ties Google's Lenoir data center to Duke Energy Carolinas' Green Source Rider and service territory.,,,Duke Energy,DUK
Google,GOOGL,Bridgeport (Jackson County),AL,Tennessee Valley Authority,TVA,,press,https://www.waff.com/2025/08/27/tva-buy-power-nuclear-plant-fuel-google-data-center-jackson-county/,confidence=medium. TVA is the named power supplier to the Google data center near Bridgeport (the former Widows Creek coal site). The local TVA retail distributor was not established; the BA is unambiguous.,,,federal,
Google,GOOGL,Fort Wayne,IN,Indiana Michigan Power,PJM,PJM/AEP,company_disclosure,https://www.aep.com/news/stories/view/9883/IM-and-Stakeholders-File-Large-Load-Settlement-to-Advance-Grid-Reliability-and-Support-Economic-Growth-/,confidence=high. I&M's own large-load settlement release names Google's Fort Wayne data center as an I&M large load; I&M sits in PJM's AEP zone.,,,American Electric Power,AEP
Google,GOOGL,Mesa,AZ,Salt River Project,SRP,,company_disclosure,https://blog.google/outreach-initiatives/sustainability/google-carbon-free-data-center-arizona-/,"confidence=high. Google's own blog confirms the Mesa data center and describes the supplying resources as sitting on SRP's grid. Mesa is SRP, not APS, which is a different balancing authority in the same metro.",,,public power,
Google,GOOGL,Midlothian (Ellis County),TX,,ERCO,ERCO/NCEN,company_disclosure,https://datacenters.google/locations/texas/,confidence=low. Google's own page confirms Midlothian and Red Oak in Ellis County. Serving utility left empty on purpose: Ellis County splits between Oncor and HILCO Electric Cooperative and no source settles which serves the campus. Both are inside ERCOT so the BA is unaffected.,,,,
Google,GOOGL,Pine Island,MN,Northern States Power - Minnesota (Xcel Energy),MISO,MISO/0001,company_disclosure,https://newsroom.xcelenergy.com/news/xcel-energy-to-power-new-google-data-center-in-minnesota,confidence=high. Xcel Energy's own newsroom states it signed an agreement to supply power for the Google data center in Pine Island MN.,,,Xcel Energy,XEL
Microsoft,MSFT,San Antonio,TX,CPS Energy,ERCO,ERCO/SCEN,press,https://sanantonioreport.org/cps-energy-moves-ahead-on-2-renewable-energy-initiatives/,confidence=medium. Microsoft's director of energy markets testified at a CPS Energy board meeting about using its green tariff for Microsoft's San Antonio data center; CPS Energy is the municipal utility for San Antonio.,,,City of San Antonio (municipal),
Microsoft,MSFT,Mount Pleasant (Racine County),WI,We Energies,MISO,MISO/0027,company_disclosure,https://blogs.microsoft.com/on-the-issues/2025/09/18/made-in-wisconsin-the-worlds-most-powerful-ai-datacenter/,confidence=high. Microsoft's own post names the Fairwater datacenter in Mount Pleasant WI and names We Energies as its utility partner.,,,WEC Energy Group,WEC
Microsoft,MSFT,Boydton (Mecklenburg County),VA,Dominion Energy Virginia,PJM,PJM/DOM,press,https://www.sovanow.com/articles/data-center-debates/,confidence=medium. Local paper confirms Microsoft's Boydton data center and states Dominion Energy supplies power across Mecklenburg County. Virginia Economic Development Partnership pages that would have made this high returned HTTP 403.,,,Dominion Energy,D
Microsoft,MSFT,Licking County (Heath/Hebron/New Albany),OH,AEP Ohio,PJM,PJM/AEP,press,https://www.enr.com/articles/59633-microsoft-announces-1b-ohio-data-center-spend-despite-utility-tariffs,confidence=medium. ENR names Microsoft campuses in New Albany Hebron and Heath and states the projects fall within AEP Ohio's service area.,,,American Electric Power,AEP
Microsoft,MSFT,Fayetteville (Fayette County),GA,Georgia Power,SOCO,,press,https://www.ajc.com/business/2025/11/microsofts-newest-ai-superfactory-opens-at-sprawling-fayetteville-campus/,confidence=medium. AJC confirms Microsoft's Fairwater datacenter opened at the QTS Fayetteville campus. Georgia Power is the utility serving that campus; all of Georgia Power is inside SOCO.,,,Southern Company,SO
Amazon,AMZN,New Carlisle (St. Joseph County),IN,Indiana Michigan Power,PJM,PJM/AEP,company_disclosure,https://www.aep.com/news/stories/view/9883/IM-and-Stakeholders-File-Large-Load-Settlement-to-Advance-Grid-Reliability-and-Support-Economic-Growth-/,confidence=high. I&M's own release names the AWS New Carlisle campus among the large loads its settlement is designed to serve; I&M is in PJM's AEP zone.,,,American Electric Power,AEP
Amazon,AMZN,Madison County,MS,Entergy Mississippi,MISO,MISO/8910,company_disclosure,https://www.entergy.com/blog/amazon-expands-and-entergy-mississippi-stands-ready-to-deliver-benefits-for-all-our-customers,confidence=high. Entergy's own blog describes Amazon's Madison County data center expansion as load Entergy Mississippi is preparing to serve.,,,Entergy,ETR
Amazon,AMZN,Boardman-Hermiston (Morrow/Umatilla Counties),OR,Umatilla Electric Cooperative,BPAT,,company_disclosure,https://www.aboutamazon.com/news/aws/committed-to-our-communities-the-economic-impact-of-awss-15-6-billion-investment-in-oregon,confidence=high. AWS's own page names Umatilla Electric Cooperative as the electric cooperative serving AWS in Umatilla and Morrow Counties; UEC sits inside BPA's balancing authority.,,,member-owned cooperative,
Amazon,AMZN,Salem Township (Luzerne County),PA,PPL Electric Utilities,PJM,PJM/PL,press,https://www.powermag.com/talen-amazon-launch-18b-nuclear-ppa-a-grid-connected-ipp-model-for-the-data-center-era/,"confidence=medium. POWER reports PPL Electric Utilities delivers the power to Amazon's Susquehanna-adjacent campus in Salem Township and places it in PJM's PPL zone. Note this site sits next to the Susquehanna nuclear plant under a Talen PPA; a nuclear PPA is a contract, not a separate grid.",,,PPL Corporation,PPL
Amazon,AMZN,Falls Township (Bucks County),PA,PECO Energy,PJM,PJM/PE,press,https://www.inquirer.com/business/energy/monitor-questions-amazon-peco-data-center-agreement-20251023.html,confidence=medium. The Inquirer states the Falls Township data center lies in PECO's service territory within PJM and cites a PECO / Amazon Data Services transmission service agreement at FERC.,,,Exelon,EXC
Meta,META,New Albany (Columbus),OH,AEP Ohio,PJM,PJM/AEP,company_disclosure,https://datacenters.atmeta.com/asset/new-albany-data-center-info-sheet/,confidence=high. Meta's own fact sheet states it worked with AEP to plan its energy needs at this site; the site hosts Meta's Prometheus AI cluster.,,,American Electric Power,AEP
Meta,META,Henrico County (Richmond),VA,Dominion Energy Virginia,PJM,PJM/DOM,company_disclosure,https://datacenters.atmeta.com/asset/henrico-data-center-info-sheet/,confidence=high. Meta's own fact sheet states it worked with Dominion Energy to plan its energy needs at this site.,,,Dominion Energy,D
Meta,META,DeKalb,IL,Commonwealth Edison,PJM,PJM/CE,company_disclosure,https://datacenters.atmeta.com/wp-content/uploads/2026/09/Meta_s-DeKalb-Data-Center.pdf,confidence=high. Meta's own fact sheet states it worked with ComEd to plan its energy needs; ComEd is the PJM CE zone.,,,Exelon,EXC
Meta,META,Social Circle / Stanton Springs (Newton County),GA,Walton Electric Membership Corporation,SOCO,,company_disclosure,https://datacenters.atmeta.com/asset/stanton-springs-data-center-info-sheet/,"confidence=medium. Meta's own fact sheet names Walton EMC as the energy partner, so the utility is stated. The SOCO balancing authority attribution for a Georgia EMC on the Integrated Transmission System is inferred, not stated.",,,member-owned cooperative,
Meta,META,Los Lunas (Valencia County),NM,Public Service Company of New Mexico,PNM,PNM/PNM,company_disclosure,https://datacenters.atmeta.com/asset/los-lunas/,confidence=high. Meta's own fact sheet states it worked with PNM to plan its energy needs; online since 2018.,,,TXNM Energy,TXNM
Meta,META,Richland Parish,LA,Entergy Louisiana,MISO,MISO/8910,company_disclosure,https://datacenters.atmeta.com/richland-parish-data-center/,confidence=high. Meta's own page states it has been working closely with Entergy to plan its energy needs; this is Meta's largest data center. MISO 8910 is the Entergy sub-zone.,,,Entergy Corporation,ETR
Meta,META,Eagle Mountain (Utah County),UT,Rocky Mountain Power,PACE,,company_disclosure,https://datacenters.atmeta.com/asset/eagle-mountain-data-center-sheet/,"confidence=high. Meta's own fact sheet states it worked with Rocky Mountain Power, which is PacifiCorp East = PACE.",,,PacifiCorp (Berkshire Hathaway Energy),
Meta,META,Huntsville (Madison County),AL,Tennessee Valley Authority (direct serve),TVA,,company_disclosure,https://datacenters.atmeta.com/asset/huntsville-data-center-info-sheet/,"confidence=high. Meta's own fact sheet names TVA for energy and Huntsville Utilities only for water and wastewater, indicating a TVA direct-serve arrangement rather than service through the municipal distributor.",,,Tennessee Valley Authority (federal),
Apple,AAPL,Maiden (Catawba County),NC,Duke Energy Carolinas,DUK,,press,https://www.carolinajournal.com/analysts-call-apple-renewable-energy-claims-lies/,"confidence=medium. Article states the Maiden facility continues to get all of its electricity from Duke Energy. Catawba County is Duke Energy Carolinas territory; that BA split (DUK vs CPLE) is inferred from service territory, not stated.",,,Duke Energy,DUK
Apple,AAPL,Reno / Sparks,NV,NV Energy,NEVP,,press,https://thenevadaindependent.com/article/apple-nv-energy-apply-for-new-agreement-for-solar-facility-near-reno-to-power-data-center-expansion,confidence=medium. Article describes a joint Apple / NV Energy filing at the PUCN for a solar plant adjacent to Apple's Sparks data center connecting to a substation developed in partnership with Apple. NV Energy operates the single NEVP balancing authority statewide.,,,Berkshire Hathaway Energy,
Apple,AAPL,Waukee (Dallas County),IA,MidAmerican Energy,MISO,,company_disclosure,https://www.apple.com/newsroom/2017/08/apples-next-us-data-center-will-be-built-in-iowa/,confidence=low. Apple's own release confirms the Waukee IA site but names no utility. MidAmerican Energy is the incumbent for Waukee and is reported to have built the campus substation; that link is inferred. Iowa is held at bare MISO.,,,Berkshire Hathaway Energy,
Oracle,ORCL,Shackelford County,TX,,ERCO,,company_disclosure,https://arrington.house.gov/uploadedfiles/final_oracle_oai_data_center_fact_sheet_092225b.pdf,"confidence=medium. MATERIAL CAVEAT, verified verbatim in the fact sheet: 10 buildings on 600 acres with partners Vantage Data Centers and VoltaGrid, and ""the data centers are powered by an onsite, behind-the-meter, gas-powered microgrid utilizing Jenbacher reciprocating engines"". That load will never appear in ERCO demand in EIA-930. The same fact sheet says Abilene by contrast ""connects directly to the ERCOT grid"". ERCOT weather zone not established.",,,,
Oracle,ORCL,Santa Teresa (Dona Ana County),NM,,EPE,,company_disclosure,https://arrington.house.gov/uploadedfiles/final_oracle_oai_data_center_fact_sheet_092225b.pdf,"confidence=medium. MATERIAL CAVEAT, verified verbatim in the fact sheet: 4 buildings on 1400 acres with partners STACK Infrastructure and Orion Digital, and ""an onsite, behind-the-meter, gas-powered microgrid utilizing Siemens and GE gas turbines will power the campus independently from the local grid"". This load will not show up in EPE demand. EPE is the geographic BA only.",,,,
Oracle,ORCL,Ashburn (Loudoun County),VA,,PJM,PJM/DOM,company_disclosure,https://docs.oracle.com/en-us/iaas/releasenotes/changes/3ce6b9cf-fb14-443a-9ced-72df8fc4110f/index.htm,"confidence=low. Oracle's own release notes confirm the us-ashburn-1 OCI region exists, but Oracle does not disclose the building. Loudoun County splits between Dominion Energy Virginia and NOVEC so the retail utility is not established; both sit in the PJM Dominion zone, so the zone is safe and the utility is not.",,,,
Tesla,TSLA,Austin (Travis County),TX,Bluebonnet Electric Cooperative,ERCO,ERCO/SCEN,press,https://kwhi.com/2020/07/23/new-tesla-gigafactory-in-travis-co-to-be-located-in-bluebonnet-electric-coop-service-area/,confidence=medium. Article states the southeast Travis County Gigafactory site is inside Bluebonnet's service area and that the co-op has the legal responsibility to provide power. The Cortex AI training cluster sits on that same campus; ERCO/SCEN assigned from ERCOT's South Central weather zone.,,,member-owned cooperative,
CoreWeave,CRWV,Denton,TX,Denton Municipal Electric,ERCO,ERCO/NCEN,sec_filing,https://www.sec.gov/Archives/edgar/data/1839341/000162828025008312/ex991-coreweavepressrelease.htm,"confidence=high. CoreWeave is the AI TENANT at Core Scientific's Denton campus, not the owner: the CoreWeave acquisition of Core Scientific was voted down and terminated on 30 Oct 2025. The joint release confirms 70 MW of additional contracted power taking the site to roughly 260 MW critical IT load. The grid connection is Core Scientific's, so a company-level view of CoreWeave would miss this load entirely.",,,,
CoreWeave,CRWV,Kenilworth,NJ,Public Service Electric and Gas,PJM,PJM/PS,press,https://njbiz.com/coreweave-clinches-long-term-lease-invests-1-2b-at-kenilworth-campus/,confidence=high. CoreWeave is the AI tenant in a former Merck lab at the NEST campus owned by an Onyx Equities / Machine Investment Group partnership; the source names PSE&G as handling the electrical infrastructure.,,,Public Service Enterprise Group,PEG
Nebius,NBIS,Vineland,NJ,Vineland Municipal Electric Utility,PJM,PJM/AE,press,https://whyy.org/articles/data-center-artificial-intelligence-vineland-new-jersey/,"confidence=medium. DataOne owns and develops the site and Nebius is the tenant serving a Microsoft contract. MATERIAL CAVEAT: the source says about 85 percent of the 350 MW is self-generated from pipeline gas and only about 15 percent comes from Vineland Municipal Utilities and Atlantic City Electric, so most of this load will not appear in PJM demand. The PJM/AE zone is inferred from Vineland's position inside the Atlantic City Electric zone.",,,,
Nebius,NBIS,Independence,MO,Independence Power and Light,SWPP,,company_disclosure,https://nebius.com/independencemo,"confidence=high. Nebius' own page states 800 MW from municipal utility Independence Power and Light (first power H2 2026) plus 400 MW of future on-site generation on a 400-acre campus sized to 1.2 GW, and explicitly cites ""IPL participation in the Southwest Power Pool (SPP)"" - so the SPP balancing-authority attribution is stated, not inferred. No SPP sub-zone established.",,,,
Lambda,,Kansas City,MO,Evergy,SWPP,,company_disclosure,https://lambda.ai/blog/lambda-to-build-a-100mw-ai-factory-in-kansas-city-mo,"confidence=medium. Lambda is sole tenant of a 2009-built building in Kansas City's Northland (building ownership not stated), 24 MW at launch scaling toward 100 MW for one undisclosed customer. Lambda's own post names Evergy. SPP sub-zone left blank because Northland KCMO straddles Evergy Metro and Evergy Missouri West.",,,Evergy Inc,EVRG
Crusoe Energy,,Laramie County,WY,,WACM,,press,https://capcity.news/community/county-community/county-government/2026/01/06/crusoe-tallgrass-get-green-light-for-wyoming-ai-energy-campus/,"confidence=medium. Laramie County approved Crusoe's Project Jade campus, with Tallgrass building the adjacent Cheyenne Power Hub gas plant on a bring-your-own-power model, so no retail utility is established and much of the load may be behind the meter. WACM is the balancing authority covering Cheyenne Light Fuel and Power's territory.",,,,
Crusoe Energy,,Childress County,TX,,ERCO,,company_disclosure,https://www.crusoe.ai/resources/newsroom/crusoe-and-lancium-announce-1-gigawatt-ai-data-center-campus-in-childress-texas,"confidence=medium. Lancium owns the 270-acre site and holds the power interconnect; Crusoe designs, builds and operates the 1.0 GW data center. Notably described as grid-connected, unlike Crusoe's behind-the-meter sites, with behind-the-meter solar and storage added. Same Childress ERCOT-not-SPP trap as the existing IREN row. No utility named and ERCOT weather zone left blank.",,,,
xAI,,Southaven,MS,Entergy Mississippi,MISO,MISO/8910,press,https://governorreeves.ms.gov/tech-leader-xai-investing-more-than-20-billion-in-southaven/,"confidence=medium. State of Mississippi release confirms xAI's retrofitted Southaven building in DeSoto County plus an xAI-acquired power plant site. Entergy is the provider for Southaven (Northcentral Electric serves only the eastern county); that utility link is inferred from county economic-development material. Same caveat as Memphis: xAI runs its own gas turbines, which EIA-930 does not see.",,,Entergy Corporation,ETR
OpenAI,,Shackelford County,TX,,ERCO,,company_disclosure,https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx,"confidence=medium. Vantage Data Centers owns and develops the 1200-acre 1.4 GW Frontier campus that OpenAI and Oracle occupy under Stargate. Vantage names no utility and cites only diverse power feeds, so serving utility is blank and the ERCOT weather zone is blank (the county sits between the WEST and NRTH zones). See the Oracle row for the same site: the fact sheet says it runs on an onsite gas microgrid.",,,,
OpenAI,,Santa Teresa / Dona Ana County,NM,,EPE,,press,https://elpasomatters.org/2025/09/25/stargate-open-ai-oracle-project-jupiter-data-center-dona-ana-new-mexico-el-paso-texas/,"confidence=medium. Project Jupiter, 1400 acres developed by BorderPlex Digital Assets with STACK Infrastructure, leased by Oracle with OpenAI the ultimate customer. MATERIAL CAVEAT: the source states the campus will run on a 700-900 MW gas microgrid that explicitly does NOT connect to El Paso Electric's grid, so this load will not appear in EPE demand.",,,,
OpenAI,,Milam County,TX,,ERCO,,press,https://pv-magazine-usa.com/2026/01/12/sb-energy-secures-1-billion-from-openai-and-softbank-for-stargate-datacenter-expansion/,"confidence=medium. SoftBank's SB Energy builds, owns and operates the 1.2 GW Stargate site and OpenAI is the tenant; the source says it will be powered by new co-located utility-scale solar plus battery storage. No utility named. ERCOT weather zone left blank because Milam County sits on the NCEN/SCEN boundary.",,,,
OpenAI,,Lordstown (Trumbull County),OH,Ohio Edison,PJM,PJM/ATSI,press,https://businessjournaldaily.com/preparation-work-begins-on-lordstown-data-center/,"confidence=low. The cited source confirms site prep on an AI data center at the former GM Lordstown plant bought by SoftBank, developed with OpenAI and Oracle. The cited source does NOT name a utility: Ohio Edison (PJM ATSI zone) is inferred from Trumbull County's service territory. All of Ohio is PJM so the BA is safe; the zone is the inferred part.",,,FirstEnergy Corp,FE
OpenAI,,Port Washington (Ozaukee County),WI,We Energies,MISO,MISO/0027,company_disclosure,https://vantage-dc.com/news/openai-oracle-and-vantage-data-centers-announce-stargate-data-center-site-in-wisconsin/,confidence=high. Vantage Data Centers owns and develops the roughly 1 GW four-building Lighthouse campus with OpenAI and Oracle as Stargate tenants; the release names We Energies supplying under a dedicated electricity rate with Vantage underwriting the power infrastructure.,,,WEC Energy Group,WEC
OpenAI,,Pike County,OH,AEP Ohio,PJM,PJM/AEP,press,https://nvidianews.nvidia.com/news/nvidia-guarantees-sb-energy-s-ports-pike-technology-campus-in-ohio-to-exclusively-host-nvidia-ai-compute,"confidence=high. SB Energy builds, owns and operates the PORTS-Pike Technology Campus on private and former federal land under a long-term lease to OpenAI; the release explicitly names AEP Ohio as partner alongside regional grid investment.",,,American Electric Power,AEP
Fluidstack,,Cameron County,TX,AEP Texas,ERCO,ERCO/SOUT,press,https://constructionreviewonline.com/fluidstack-starts-site-work-on-4-billion-cameron-county-ai-data-center-campus/,"confidence=medium. Fluidstack develops and owns a campus in unincorporated Cameron County southwest of Rio Hondo, financing its own transmission through AEP Texas. IMPORTANT: no anchor tenant has been announced, so do NOT attribute this site to Anthropic even though Anthropic is Fluidstack's largest disclosed partner.",,,American Electric Power,AEP
Fluidstack,,Barker (Lake Mariner) tenant,NY,,NYIS,NYIS/ZONA,press,https://www.datacenterfrontier.com/site-selection/article/55379784/terawulfs-lake-mariner-campus-how-a-retired-coal-plant-became-an-ai-factory-prototype,"confidence=medium. TeraWulf owns and operates the Lake Mariner campus on the retired Somerset coal plant site; Fluidstack and Core42 are named anchor TENANTS, so this row deliberately duplicates the existing TeraWulf Barker site under the occupier. The article names no retail utility. NYIS/ZONA inferred from Niagara County.",,,,
